,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
419,1,0,4.1,427,2,36,306,500.0,79
420,1,0,4.0,197,0,31,247,300.0,214
421,1,0,4.1,601,0,31,331,700.0,202
422,1,0,3.9,488,5,36,50,400.0,48
423,1,0,4.0,396,2,31,364,400.0,214
424,1,0,3.6,474,0,31,270,450.0,214
425,1,0,2.9,172,0,31,258,300.0,135
426,1,0,3.1,175,2,31,5,250.0,214
427,1,0,4.0,939,0,11,129,600.0,214
428,1,0,3.9,173,0,31,324,250.0,210
429,1,0,3.9,77,2,31,247,400.0,13
430,1,0,3.9,326,0,7,257,200.0,214
431,1,0,3.3,212,5,31,41,350.0,53
432,1,0,4.1,464,0,31,252,300.0,214
433,1,0,3.3,628,2,16,197,450.0,171
434,1,0,3.6,518,5,11,364,400.0,118
435,1,0,3.9,70,2,17,161,350.0,24
436,1,0,3.9,62,5,31,69,300.0,45
437,1,0,4.4,819,6,17,203,400.0,214
438,1,1,4.2,1964,2,11,17,1000.0,18
439,1,0,4.0,138,2,16,40,650.0,84
440,1,0,3.3,455,2,11,8,550.0,98
441,1,0,3.8,181,2,20,253,600.0,155
442,1,0,3.6,43,5,31,65,300.0,33
443,1,0,2.7,159,5,31,325,750.0,177
444,1,0,3.2,166,2,31,339,600.0,214
445,1,0,3.7,128,2,36,51,400.0,116
446,1,0,2.9,126,0,31,131,300.0,23
447,1,0,4.0,952,6,31,300,400.0,83
448,1,0,3.8,472,2,31,68,600.0,77
449,1,1,4.0,739,2,11,59,800.0,125
450,1,0,3.9,255,0,11,8,500.0,46
451,1,0,4.0,1974,5,11,58,800.0,198
452,1,1,4.2,1428,5,11,10,800.0,59
453,1,0,4.0,332,5,31,364,300.0,214
454,1,1,4.0,199,5,31,330,700.0,94
455,1,0,3.9,437,5,31,67,400.0,28
456,1,0,3.8,207,2,11,42,700.0,38
457,1,1,4.4,4381,5,13,326,600.0,214
458,1,0,3.8,55,2,31,364,300.0,214
459,1,0,4.0,597,2,31,247,400.0,63
460,1,0,3.0,102,0,11,364,600.0,214
461,1,0,3.9,189,0,31,48,300.0,52
462,1,0,3.7,131,5,7,121,400.0,214
463,1,0,4.2,373,5,11,49,750.0,214
464,1,0,3.9,435,0,11,27,650.0,126
465,1,0,4.1,292,0,11,46,700.0,214
466,1,0,3.6,137,2,31,16,300.0,214
467,1,0,3.2,133,2,11,261,500.0,214
468,1,0,3.9,37,5,36,342,250.0,160
469,1,0,3.7,170,5,31,185,200.0,214
470,1,0,3.6,794,2,11,54,550.0,176
471,1,0,4.6,404,2,11,0,1000.0,214
